han,hex,dec
一,4E00,19968
乙,4E59,20057
二,4E8C,20108
十,5341,21313
丁,4E01,19969
厂,5382,21378
七,4E03,19971
卜,535C,21340
人,4EBA,20154
入,5165,20837
八,516B,20843
九,4E5D,20061
几,51E0,20960
儿,513F,20799
了,4E86,20102
力,529B,21147
乃,4E43,20035
刀,5200,20992
又,53C8,21448
三,4E09,19977
于,4E8E,20110
干,5E72,24178
亏,4E8F,20111
士,58EB,22763
工,5DE5,24037
土,571F,22303
才,624D,25165
寸,5BF8,23544
下,4E0B,19979
大,5927,22823
丈,4E08,19976
与,4E0E,19982
万,4E07,19975
上,4E0A,19978
小,5C0F,23567
口,53E3,21475
巾,5DFE,24062
山,5C71,23665
千,5343,21315
乞,4E5E,20062
川,5DDD,24029
亿,4EBF,20159
个,4E2A,20010
勺,52FA,21242
久,4E45,20037
凡,51E1,20961
及,53CA,21450
夕,5915,22805
丸,4E38,20024
么,4E48,20040
广,5E7F,24191
亡,4EA1,20129
门,95E8,38376
义,4E49,20041
之,4E4B,20043
尸,5C38,23608
弓,5F13,24339
己,5DF1,24049
已,5DF2,24050
子,5B50,23376
卫,536B,21355
也,4E5F,20063
女,5973,22899
飞,98DE,39134
刃,5203,20995
习,4E60,20064
叉,53C9,21449
马,9A6C,39532
乡,4E61,20065
丰,4E30,20016
王,738B,29579
井,4E95,20117
开,5F00,24320
夫,592B,22827
天,5929,22825
无,65E0,26080
元,5143,20803
专,4E13,19987
云,4E91,20113
扎,624E,25166
艺,827A,33402
木,6728,26408
五,4E94,20116
支,652F,25903
厅,5385,21381
不,4E0D,19981
太,592A,22826
犬,72AC,29356
区,533A,21306
历,5386,21382
尤,5C24,23588
友,53CB,21451
匹,5339,21305
车,8F66,36710
巨,5DE8,24040
牙,7259,29273
屯,5C6F,23663
比,6BD4,27604
互,4E92,20114
切,5207,20999
瓦,74E6,29926
止,6B62,27490
少,5C11,23569
日,65E5,26085
中,4E2D,20013
冈,5188,20872
贝,8D1D,36125
内,5185,20869
水,6C34,27700
见,89C1,35265
午,5348,21320
牛,725B,29275
手,624B,25163
毛,6BDB,27611
气,6C14,27668
升,5347,21319
长,957F,38271
仁,4EC1,20161
什,4EC0,20160
片,7247,29255
仆,4EC6,20166
化,5316,21270
仇,4EC7,20167
币,5E01,24065
仍,4ECD,20173
仅,4EC5,20165
斤,65A4,26020
爪,722A,29226
反,53CD,21453
介,4ECB,20171
父,7236,29238
从,4ECE,20174
今,4ECA,20170
凶,51F6,20982
分,5206,20998
乏,4E4F,20047
公,516C,20844
仓,4ED3,20179
月,6708,26376
氏,6C0F,27663
勿,52FF,21247
欠,6B20,27424
风,98CE,39118
丹,4E39,20025
匀,5300,21248
乌,4E4C,20044
凤,51E4,20964
勾,52FE,21246
文,6587,25991
六,516D,20845
方,65B9,26041
火,706B,28779
为,4E3A,20026
斗,6597,26007
忆,5FC6,24518
订,8BA2,35746
计,8BA1,35745
户,6237,25143
认,8BA4,35748
心,5FC3,24515
尺,5C3A,23610
引,5F15,24341
丑,4E11,19985
巴,5DF4,24052
孔,5B54,23380
队,961F,38431
办,529E,21150
以,4EE5,20197
允,5141,20801
予,4E88,20104
劝,529D,21149
双,53CC,21452
书,4E66,20070
幻,5E7B,24187
玉,7389,29577
刊,520A,21002
示,793A,31034
末,672B,26411
未,672A,26410
击,51FB,20987
打,6253,25171
巧,5DE7,24039
正,6B63,27491
扑,6251,25169
扒,6252,25170
功,529F,21151
扔,6254,25172
去,53BB,21435
甘,7518,29976
世,4E16,19990
古,53E4,21476
节,8282,33410
本,672C,26412
术,672F,26415
可,53EF,21487
丙,4E19,19993
左,5DE6,24038
厉,5389,21385
右,53F3,21491
石,77F3,30707
布,5E03,24067
龙,9F99,40857
平,5E73,24179
灭,706D,28781
轧,8F67,36711
东,4E1C,19996
卡,5361,21345
北,5317,21271
占,5360,21344
业,4E1A,19994
旧,65E7,26087
帅,5E05,24069
归,5F52,24402
且,4E14,19988
旦,65E6,26086
目,76EE,30446
叶,53F6,21494
甲,7532,30002
申,7533,30003
叮,53EE,21486
电,7535,30005
号,53F7,21495
田,7530,30000
由,7531,30001
史,53F2,21490
只,53EA,21482
央,592E,22830
兄,5144,20804
叼,53FC,21500
叫,53EB,21483
另,53E6,21478
叨,53E8,21480
叹,53F9,21497
四,56DB,22235
生,751F,29983
失,5931,22833
禾,79BE,31166
丘,4E18,19992
付,4ED8,20184
仗,4ED7,20183
代,4EE3,20195
仙,4ED9,20185
们,4EEC,20204
仪,4EEA,20202
白,767D,30333
仔,4ED4,20180
他,4ED6,20182
斥,65A5,26021
瓜,74DC,29916
乎,4E4E,20046
丛,4E1B,19995
令,4EE4,20196
用,7528,29992
甩,7529,29993
印,5370,21360
乐,4E50,20048
句,53E5,21477
匆,5306,21254
册,518C,20876
犯,72AF,29359
外,5916,22806
处,5904,22788
冬,51AC,20908
鸟,9E1F,40479
务,52A1,21153
包,5305,21253
饥,9965,39269
主,4E3B,20027
市,5E02,24066
立,7ACB,31435
闪,95EA,38378
兰,5170,20848
半,534A,21322
汁,6C41,27713
汇,6C47,27719
头,5934,22836
汉,6C49,27721
宁,5B81,23425
穴,7A74,31348
它,5B83,23427
讨,8BA8,35752
写,5199,20889
让,8BA9,35753
礼,793C,31036
训,8BAD,35757
必,5FC5,24517
议,8BAE,35758
讯,8BAF,35759
记,8BB0,35760
永,6C38,27704
司,53F8,21496
尼,5C3C,23612
民,6C11,27665
出,51FA,20986
辽,8FBD,36797
奶,5976,22902
奴,5974,22900
加,52A0,21152
召,53EC,21484
皮,76AE,30382
边,8FB9,36793
发,53D1,21457
孕,5B55,23381
圣,5723,22307
对,5BF9,23545
台,53F0,21488
矛,77DB,30683
纠,7EA0,32416
母,6BCD,27597
幼,5E7C,24188
丝,4E1D,19997
式,5F0F,24335
刑,5211,21009
动,52A8,21160
扛,625B,25179
寺,5BFA,23546
吉,5409,21513
扣,6263,25187
考,8003,32771
托,6258,25176
老,8001,32769
执,6267,25191
巩,5DE9,24041
圾,573E,22334
扩,6269,25193
扫,626B,25195
地,5730,22320
扬,626C,25196
场,573A,22330
耳,8033,32819
共,5171,20849
芒,8292,33426
亚,4E9A,20122
芝,829D,33437
朽,673D,26429
朴,6734,26420
机,673A,26426
权,6743,26435
过,8FC7,36807
臣,81E3,33251
再,518D,20877
协,534F,21327
西,897F,35199
压,538B,21387
厌,538C,21388
在,5728,22312
有,6709,26377
百,767E,30334
存,5B58,23384
而,800C,32780
页,9875,39029
匠,5320,21280
夸,5938,22840
夺,593A,22842
灰,7070,28784
达,8FBE,36798
列,5217,21015
死,6B7B,27515
成,6210,25104
夹,5939,22841
轨,8F68,36712
邪,90AA,37034
划,5212,21010
迈,8FC8,36808
毕,6BD5,27605
至,81F3,33267
此,6B64,27492
贞,8D1E,36126
师,5E08,24072
尘,5C18,23576
尖,5C16,23574
劣,52A3,21155
光,5149,20809
当,5F53,24403
早,65E9,26089
吐,5410,21520
吓,5413,21523
虫,866B,34411
曲,66F2,26354
团,56E2,22242
同,540C,21516
吊,540A,21514
吃,5403,21507
因,56E0,22240
吸,5438,21560
吗,5417,21527
屿,5C7F,23679
帆,5E06,24070
岁,5C81,23681
回,56DE,22238
岂,5C82,23682
刚,521A,21018
则,5219,21017
肉,8089,32905
网,7F51,32593
年,5E74,24180
朱,6731,26417
先,5148,20808
丢,4E22,20002
舌,820C,33292
竹,7AF9,31481
迁,8FC1,36801
乔,4E54,20052
伟,4F1F,20255
传,4F20,20256
乒,4E52,20050
乓,4E53,20051
休,4F11,20241
伍,4F0D,20237
伏,4F0F,20239
优,4F18,20248
伐,4F10,20240
延,5EF6,24310
件,4EF6,20214
任,4EFB,20219
伤,4F24,20260
价,4EF7,20215
份,4EFD,20221
华,534E,21326
仰,4EF0,20208
仿,4EFF,20223
伙,4F19,20249
伪,4F2A,20266
自,81EA,33258
血,8840,34880
向,5411,21521
似,4F3C,20284
后,540E,21518
行,884C,34892
舟,821F,33311
全,5168,20840
会,4F1A,20250
杀,6740,26432
合,5408,21512
兆,5146,20806
企,4F01,20225
众,4F17,20247
爷,7237,29239
伞,4F1E,20254
创,521B,21019
肌,808C,32908
朵,6735,26421
杂,6742,26434
危,5371,21361
旬,65EC,26092
旨,65E8,26088
负,8D1F,36127
各,5404,21508
名,540D,21517
多,591A,22810
争,4E89,20105
色,8272,33394
壮,58EE,22766
冲,51B2,20914
冰,51B0,20912
庄,5E84,24196
庆,5E86,24198
亦,4EA6,20134
刘,5218,21016
齐,9F50,40784
交,4EA4,20132
次,6B21,27425
衣,8863,34915
产,4EA7,20135
决,51B3,20915
充,5145,20805
妄,5984,22916
闭,95ED,38381
问,95EE,38382
闯,95EF,38383
羊,7F8A,32650
并,5E76,24182
关,5173,20851
米,7C73,31859
灯,706F,28783
州,5DDE,24030
汗,6C57,27735
污,6C61,27745
江,6C5F,27743
池,6C60,27744
汤,6C64,27748
忙,5FD9,24537
兴,5174,20852
宇,5B87,23431
守,5B88,23432
宅,5B85,23429
字,5B57,23383
安,5B89,23433
讲,8BB2,35762
军,519B,20891
许,8BB8,35768
论,8BBA,35770
农,519C,20892
讽,8BBD,35773
设,8BBE,35774
访,8BBF,35775
寻,5BFB,23547
那,90A3,37027
迅,8FC5,36805
尽,5C3D,23613
导,5BFC,23548
异,5F02,24322
孙,5B59,23385
阵,9635,38453
阳,9633,38451
收,6536,25910
阶,9636,38454
阴,9634,38452
防,9632,38450
奸,5978,22904
如,5982,22914
妇,5987,22919
好,597D,22909
她,5979,22905
妈,5988,22920
戏,620F,25103
羽,7FBD,32701
观,89C2,35266
欢,6B22,27426
买,4E70,20080
红,7EA2,32418
纤,7EA4,32420
级,7EA7,32423
约,7EA6,32422
纪,7EAA,32426
驰,9A70,39536
巡,5DE1,24033
寿,5BFF,23551
弄,5F04,24324
麦,9EA6,40614
形,5F62,24418
进,8FDB,36827
戒,6212,25106
吞,541E,21534
远,8FDC,36828
违,8FDD,36829
运,8FD0,36816
扶,6276,25206
抚,629A,25242
坛,575B,22363
技,6280,25216
坏,574F,22351
扰,6270,25200
拒,62D2,25298
找,627E,25214
批,6279,25209
扯,626F,25199
址,5740,22336
走,8D70,36208
抄,6284,25220
坝,575D,22365
贡,8D21,36129
攻,653B,25915
赤,8D64,36196
折,6298,25240
抓,6293,25235
扮,626E,25198
抢,62A2,25250
孝,5B5D,23389
均,5747,22343
抛,629B,25243
投,6295,25237
